nohup: ignoring input
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
The new embeddings will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
/home/ethanbobrik/explainable-misinfo-ai/baseline_model/training/train_twophase.py:540: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler() if use_amp else None
[train] Using device: cuda
[load_dataset] Loading dataset from /home/ethanbobrik/explainable-misinfo-ai/data/processed/final_datasets
[load_dataset] Found parquet files, loading from parquet
[train] Using backbone: roberta-base
[tokenize] Added 4 special tokens to tokenizer.
[lora_utils] Applied PEFT LoRA to encoder.
[train] Detected 12 transformer layers
[Phase 1] Head-only training
  Trainable: 397,063 | Frozen: 124,943,616 | Total: 125,340,679
Evaluating:  97%|█████████▋| 344/354 [02:23<00:04,  2.38it/s][A

Evaluating:  97%|█████████▋| 345/354 [02:23<00:03,  2.43it/s][A

Evaluating:  98%|█████████▊| 346/354 [02:24<00:03,  2.38it/s][A

Evaluating:  98%|█████████▊| 347/354 [02:24<00:02,  2.40it/s][A

Evaluating:  98%|█████████▊| 348/354 [02:24<00:02,  2.39it/s][A

Evaluating:  99%|█████████▊| 349/354 [02:25<00:02,  2.40it/s][A

Evaluating:  99%|█████████▉| 350/354 [02:25<00:01,  2.37it/s][A

Evaluating:  99%|█████████▉| 351/354 [02:26<00:01,  2.40it/s][A

Evaluating:  99%|█████████▉| 352/354 [02:26<00:00,  2.39it/s][A

Evaluating: 100%|█████████▉| 353/354 [02:27<00:00,  2.35it/s][A

Evaluating: 100%|██████████| 354/354 [02:27<00:00,  2.36it/s][A

                                                             [A
Phase1 Epoch 1/10:  40%|████      | 499/1239 [03:51<02:04,  5.94it/s, Loss=0.7745, Acc=56.19%]
Phase1 Epoch 1/10:  40%|████      | 500/1239 [03:51<9:09:40, 44.63s/it, Loss=0.7745, Acc=56.19%]/home/ethanbobrik/explainable-misinfo-ai/baseline_model/training/train_twophase.py:242: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast():

Phase1 Epoch 1/10:  40%|████      | 500/1239 [03:51<9:09:40, 44.63s/it, Loss=0.7744, Acc=56.20%]
Phase1 Epoch 1/10:  40%|████      | 501/1239 [03:51<6:24:53, 31.29s/it, Loss=0.7744, Acc=56.20%]
Phase1 Epoch 1/10:  40%|████      | 501/1239 [03:51<6:24:53, 31.29s/it, Loss=0.7742, Acc=56.22%]
Phase1 Epoch 1/10:  41%|████      | 502/1239 [03:51<4:29:42, 21.96s/it, Loss=0.7742, Acc=56.22%]
Phase1 Epoch 1/10:  41%|████      | 502/1239 [03:51<4:29:42, 21.96s/it, Loss=0.7740, Acc=56.23%]
Phase1 Epoch 1/10:  41%|████      | 503/1239 [03:51<3:09:04, 15.41s/it, Loss=0.7740, Acc=56.23%]
Phase1 Epoch 1/10:  41%|████      | 503/1239 [03:51<3:09:04, 15.41s/it, Loss=0.7738, Acc=56.24%]
Phase1 Epoch 1/10:  41%|████      | 504/1239 [03:51<2:12:49, 10.84s/it, Loss=0.7738, Acc=56.24%]
Phase1 Epoch 1/10:  41%|████      | 504/1239 [03:52<2:12:49, 10.84s/it, Loss=0.7736, Acc=56.26%]
Phase1 Epoch 1/10:  41%|████      | 505/1239 [03:52<1:33:31,  7.64s/it, Loss=0.7736, Acc=56.26%]
Phase1 Epoch 1/10:  41%|████      | 505/1239 [03:52<1:33:31,  7.64s/it, Loss=0.7734, Acc=56.28%]
Phase1 Epoch 1/10:  41%|████      | 506/1239 [03:52<1:05:55,  5.40s/it, Loss=0.7734, Acc=56.28%]
Phase1 Epoch 1/10:  41%|████      | 506/1239 [03:52<1:05:55,  5.40s/it, Loss=0.7739, Acc=56.23%]
Phase1 Epoch 1/10:  41%|████      | 507/1239 [03:52<46:37,  3.82s/it, Loss=0.7739, Acc=56.23%]  
Phase1 Epoch 1/10:  41%|████      | 507/1239 [03:52<46:37,  3.82s/it, Loss=0.7740, Acc=56.20%]
Phase1 Epoch 1/10:  41%|████      | 508/1239 [03:52<33:13,  2.73s/it, Loss=0.7740, Acc=56.20%]
Phase1 Epoch 1/10:  41%|████      | 508/1239 [03:52<33:13,  2.73s/it, Loss=0.7741, Acc=56.19%]
Phase1 Epoch 1/10:  41%|████      | 509/1239 [03:52<23:53,  1.96s/it, Loss=0.7741, Acc=56.19%]
Phase1 Epoch 1/10:  41%|████      | 509/1239 [03:52<23:53,  1.96s/it, Loss=0.7746, Acc=56.16%]
Phase1 Epoch 1/10:  41%|████      | 510/1239 [03:52<17:15,  1.42s/it, Loss=0.7746, Acc=56.16%]
Phase1 Epoch 1/10:  41%|████      | 510/1239 [03:53<17:15,  1.42s/it, Loss=0.7745, Acc=56.15%]
Phase1 Epoch 1/10:  41%|████      | 511/1239 [03:53<12:36,  1.04s/it, Loss=0.7745, Acc=56.15%]
Phase1 Epoch 1/10:  41%|████      | 511/1239 [03:53<12:36,  1.04s/it, Loss=0.7745, Acc=56.15%]
Phase1 Epoch 1/10:  41%|████▏     | 512/1239 [03:53<09:27,  1.28it/s, Loss=0.7745, Acc=56.15%]
Phase1 Epoch 1/10:  41%|████▏     | 512/1239 [03:53<09:27,  1.28it/s, Loss=0.7745, Acc=56.15%]
Phase1 Epoch 1/10:  41%|████▏     | 513/1239 [03:53<07:14,  1.67it/s, Loss=0.7745, Acc=56.15%]
Phase1 Epoch 1/10:  41%|████▏     | 513/1239 [03:53<07:14,  1.67it/s, Loss=0.7745, Acc=56.15%]
Phase1 Epoch 1/10:  41%|████▏     | 514/1239 [03:53<05:38,  2.14it/s, Loss=0.7745, Acc=56.15%]
Phase1 Epoch 1/10:  41%|████▏     | 514/1239 [03:53<05:38,  2.14it/s, Loss=0.7743, Acc=56.17%]
Phase1 Epoch 1/10:  42%|████▏     | 515/1239 [03:53<04:28,  2.70it/s, Loss=0.7743, Acc=56.17%]
Phase1 Epoch 1/10:  42%|████▏     | 515/1239 [03:53<04:28,  2.70it/s, Loss=0.7741, Acc=56.17%]
Phase1 Epoch 1/10:  42%|████▏     | 516/1239 [03:53<03:45,  3.20it/s, Loss=0.7741, Acc=56.17%]
Phase1 Epoch 1/10:  42%|████▏     | 516/1239 [03:54<03:45,  3.20it/s, Loss=0.7740, Acc=56.18%]
Phase1 Epoch 1/10:  42%|████▏     | 517/1239 [03:54<03:16,  3.67it/s, Loss=0.7740, Acc=56.18%]
Phase1 Epoch 1/10:  42%|████▏     | 517/1239 [03:54<03:16,  3.67it/s, Loss=0.7738, Acc=56.22%]
Phase1 Epoch 1/10:  42%|████▏     | 518/1239 [03:54<02:52,  4.17it/s, Loss=0.7738, Acc=56.22%]
Phase1 Epoch 1/10:  42%|████▏     | 518/1239 [03:54<02:52,  4.17it/s, Loss=0.7737, Acc=56.23%]
Phase1 Epoch 1/10:  42%|████▏     | 519/1239 [03:54<02:31,  4.74it/s, Loss=0.7737, Acc=56.23%]
Phase1 Epoch 1/10:  42%|████▏     | 519/1239 [03:54<02:31,  4.74it/s, Loss=0.7736, Acc=56.24%]
Phase1 Epoch 1/10:  42%|████▏     | 520/1239 [03:54<02:23,  5.00it/s, Loss=0.7736, Acc=56.24%]
Phase1 Epoch 1/10:  42%|████▏     | 520/1239 [03:54<02:23,  5.00it/s, Loss=0.7733, Acc=56.27%]
Phase1 Epoch 1/10:  42%|████▏     | 521/1239 [03:54<02:18,  5.17it/s, Loss=0.7733, Acc=56.27%]
Phase1 Epoch 1/10:  42%|████▏     | 521/1239 [03:54<02:18,  5.17it/s, Loss=0.7733, Acc=56.26%]
Phase1 Epoch 1/10:  42%|████▏     | 522/1239 [03:54<02:09,  5.52it/s, Loss=0.7733, Acc=56.26%]
Phase1 Epoch 1/10:  42%|████▏     | 522/1239 [03:54<02:09,  5.52it/s, Loss=0.7732, Acc=56.29%]
Phase1 Epoch 1/10:  42%|████▏     | 523/1239 [03:54<02:02,  5.86it/s, Loss=0.7732, Acc=56.29%]
Phase1 Epoch 1/10:  42%|████▏     | 523/1239 [03:55<02:02,  5.86it/s, Loss=0.7729, Acc=56.31%]
Phase1 Epoch 1/10:  42%|████▏     | 524/1239 [03:55<02:02,  5.82it/s, Loss=0.7729, Acc=56.31%]
Phase1 Epoch 1/10:  42%|████▏     | 524/1239 [03:55<02:02,  5.82it/s, Loss=0.7727, Acc=56.32%]
Phase1 Epoch 1/10:  42%|████▏     | 525/1239 [03:55<02:05,  5.70it/s, Loss=0.7727, Acc=56.32%]
Phase1 Epoch 1/10:  42%|████▏     | 525/1239 [03:55<02:05,  5.70it/s, Loss=0.7727, Acc=56.32%]
Phase1 Epoch 1/10:  42%|████▏     | 526/1239 [03:55<01:57,  6.07it/s, Loss=0.7727, Acc=56.32%]
Phase1 Epoch 1/10:  42%|████▏     | 526/1239 [03:55<01:57,  6.07it/s, Loss=0.7728, Acc=56.30%]
Phase1 Epoch 1/10:  43%|████▎     | 527/1239 [03:55<01:56,  6.10it/s, Loss=0.7728, Acc=56.30%]
Phase1 Epoch 1/10:  43%|████▎     | 527/1239 [03:55<01:56,  6.10it/s, Loss=0.7725, Acc=56.34%]
Phase1 Epoch 1/10:  43%|████▎     | 528/1239 [03:55<01:57,  6.03it/s, Loss=0.7725, Acc=56.34%]
Phase1 Epoch 1/10:  43%|████▎     | 528/1239 [03:56<01:57,  6.03it/s, Loss=0.7724, Acc=56.35%]
Phase1 Epoch 1/10:  43%|████▎     | 529/1239 [03:56<02:01,  5.85it/s, Loss=0.7724, Acc=56.35%]
Phase1 Epoch 1/10:  43%|████▎     | 529/1239 [03:56<02:01,  5.85it/s, Loss=0.7724, Acc=56.35%]
Phase1 Epoch 1/10:  43%|████▎     | 530/1239 [03:56<01:54,  6.20it/s, Loss=0.7724, Acc=56.35%]
Phase1 Epoch 1/10:  43%|████▎     | 530/1239 [03:56<01:54,  6.20it/s, Loss=0.7721, Acc=56.36%]
Phase1 Epoch 1/10:  43%|████▎     | 531/1239 [03:56<01:52,  6.29it/s, Loss=0.7721, Acc=56.36%]
Phase1 Epoch 1/10:  43%|████▎     | 531/1239 [03:56<01:52,  6.29it/s, Loss=0.7720, Acc=56.37%]
Phase1 Epoch 1/10:  43%|████▎     | 532/1239 [03:56<01:55,  6.11it/s, Loss=0.7720, Acc=56.37%]
Phase1 Epoch 1/10:  43%|████▎     | 532/1239 [03:56<01:55,  6.11it/s, Loss=0.7717, Acc=56.41%]
Phase1 Epoch 1/10:  43%|████▎     | 533/1239 [03:56<01:58,  5.94it/s, Loss=0.7717, Acc=56.41%]
Phase1 Epoch 1/10:  43%|████▎     | 533/1239 [03:56<01:58,  5.94it/s, Loss=0.7716, Acc=56.42%]
Phase1 Epoch 1/10:  43%|████▎     | 534/1239 [03:56<01:54,  6.17it/s, Loss=0.7716, Acc=56.42%]
Phase1 Epoch 1/10:  43%|████▎     | 534/1239 [03:56<01:54,  6.17it/s, Loss=0.7714, Acc=56.43%]
Phase1 Epoch 1/10:  43%|████▎     | 535/1239 [03:56<01:52,  6.28it/s, Loss=0.7714, Acc=56.43%]
Phase1 Epoch 1/10:  43%|████▎     | 535/1239 [03:57<01:52,  6.28it/s, Loss=0.7713, Acc=56.42%]
Phase1 Epoch 1/10:  43%|████▎     | 536/1239 [03:57<01:55,  6.10it/s, Loss=0.7713, Acc=56.42%]
Phase1 Epoch 1/10:  43%|████▎     | 536/1239 [03:57<01:55,  6.10it/s, Loss=0.7714, Acc=56.41%]
Phase1 Epoch 1/10:  43%|████▎     | 537/1239 [03:57<01:58,  5.92it/s, Loss=0.7714, Acc=56.41%]
Phase1 Epoch 1/10:  43%|████▎     | 537/1239 [03:57<01:58,  5.92it/s, Loss=0.7713, Acc=56.43%]
Phase1 Epoch 1/10:  43%|████▎     | 538/1239 [03:57<01:56,  6.03it/s, Loss=0.7713, Acc=56.43%]
Phase1 Epoch 1/10:  43%|████▎     | 538/1239 [03:57<01:56,  6.03it/s, Loss=0.7712, Acc=56.44%]
Phase1 Epoch 1/10:  44%|████▎     | 539/1239 [03:57<01:51,  6.26it/s, Loss=0.7712, Acc=56.44%]
Phase1 Epoch 1/10:  44%|████▎     | 539/1239 [03:57<01:51,  6.26it/s, Loss=0.7709, Acc=56.47%]
Phase1 Epoch 1/10:  44%|████▎     | 540/1239 [03:57<01:54,  6.09it/s, Loss=0.7709, Acc=56.47%]
Phase1 Epoch 1/10:  44%|████▎     | 540/1239 [03:57<01:54,  6.09it/s, Loss=0.7706, Acc=56.52%]
Phase1 Epoch 1/10:  44%|████▎     | 541/1239 [03:57<01:57,  5.93it/s, Loss=0.7706, Acc=56.52%]
Phase1 Epoch 1/10:  44%|████▎     | 541/1239 [03:58<01:57,  5.93it/s, Loss=0.7705, Acc=56.52%]
Phase1 Epoch 1/10:  44%|████▎     | 542/1239 [03:58<01:54,  6.07it/s, Loss=0.7705, Acc=56.52%]
Phase1 Epoch 1/10:  44%|████▎     | 542/1239 [03:58<01:54,  6.07it/s, Loss=0.7703, Acc=56.54%]
Phase1 Epoch 1/10:  44%|████▍     | 543/1239 [03:58<01:50,  6.28it/s, Loss=0.7703, Acc=56.54%]
Phase1 Epoch 1/10:  44%|████▍     | 543/1239 [03:58<01:50,  6.28it/s, Loss=0.7703, Acc=56.53%]
Phase1 Epoch 1/10:  44%|████▍     | 544/1239 [03:58<01:53,  6.11it/s, Loss=0.7703, Acc=56.53%]
Phase1 Epoch 1/10:  44%|████▍     | 544/1239 [03:58<01:53,  6.11it/s, Loss=0.7702, Acc=56.53%]
Phase1 Epoch 1/10:  44%|████▍     | 545/1239 [03:58<01:57,  5.89it/s, Loss=0.7702, Acc=56.53%]
Phase1 Epoch 1/10:  44%|████▍     | 545/1239 [03:58<01:57,  5.89it/s, Loss=0.7701, Acc=56.54%]
Phase1 Epoch 1/10:  44%|████▍     | 546/1239 [03:58<01:50,  6.29it/s, Loss=0.7701, Acc=56.54%]
Phase1 Epoch 1/10:  44%|████▍     | 546/1239 [03:58<01:50,  6.29it/s, Loss=0.7700, Acc=56.54%]
Phase1 Epoch 1/10:  44%|████▍     | 547/1239 [03:58<01:50,  6.25it/s, Loss=0.7700, Acc=56.54%]
Phase1 Epoch 1/10:  44%|████▍     | 547/1239 [03:59<01:50,  6.25it/s, Loss=0.7698, Acc=56.55%]
Phase1 Epoch 1/10:  44%|████▍     | 548/1239 [03:59<01:52,  6.13it/s, Loss=0.7698, Acc=56.55%]
Phase1 Epoch 1/10:  44%|████▍     | 548/1239 [03:59<01:52,  6.13it/s, Loss=0.7696, Acc=56.59%]
Phase1 Epoch 1/10:  44%|████▍     | 549/1239 [03:59<01:56,  5.91it/s, Loss=0.7696, Acc=56.59%]
Phase1 Epoch 1/10:  44%|████▍     | 549/1239 [03:59<01:56,  5.91it/s, Loss=0.7694, Acc=56.59%]
Phase1 Epoch 1/10:  44%|████▍     | 550/1239 [03:59<01:50,  6.25it/s, Loss=0.7694, Acc=56.59%]
Phase1 Epoch 1/10:  44%|████▍     | 550/1239 [03:59<01:50,  6.25it/s, Loss=0.7694, Acc=56.58%]
Phase1 Epoch 1/10:  44%|████▍     | 551/1239 [03:59<01:50,  6.25it/s, Loss=0.7694, Acc=56.58%]
Phase1 Epoch 1/10:  44%|████▍     | 551/1239 [03:59<01:50,  6.25it/s, Loss=0.7692, Acc=56.60%]
Phase1 Epoch 1/10:  45%|████▍     | 552/1239 [03:59<01:51,  6.14it/s, Loss=0.7692, Acc=56.60%]
Phase1 Epoch 1/10:  45%|████▍     | 552/1239 [03:59<01:51,  6.14it/s, Loss=0.7690, Acc=56.61%]
Phase1 Epoch 1/10:  45%|████▍     | 553/1239 [03:59<01:56,  5.91it/s, Loss=0.7690, Acc=56.61%]
Phase1 Epoch 1/10:  45%|████▍     | 553/1239 [04:00<01:56,  5.91it/s, Loss=0.7688, Acc=56.62%]
Phase1 Epoch 1/10:  45%|████▍     | 554/1239 [04:00<01:50,  6.19it/s, Loss=0.7688, Acc=56.62%]
Phase1 Epoch 1/10:  45%|████▍     | 554/1239 [04:00<01:50,  6.19it/s, Loss=0.7686, Acc=56.63%]
Phase1 Epoch 1/10:  45%|████▍     | 555/1239 [04:00<01:50,  6.22it/s, Loss=0.7686, Acc=56.63%]
Phase1 Epoch 1/10:  45%|████▍     | 555/1239 [04:00<01:50,  6.22it/s, Loss=0.7685, Acc=56.64%]
Phase1 Epoch 1/10:  45%|████▍     | 556/1239 [04:00<01:52,  6.07it/s, Loss=0.7685, Acc=56.64%]
Phase1 Epoch 1/10:  45%|████▍     | 556/1239 [04:00<01:52,  6.07it/s, Loss=0.7684, Acc=56.64%]
Phase1 Epoch 1/10:  45%|████▍     | 557/1239 [04:00<01:55,  5.91it/s, Loss=0.7684, Acc=56.64%]
Phase1 Epoch 1/10:  45%|████▍     | 557/1239 [04:00<01:55,  5.91it/s, Loss=0.7684, Acc=56.64%]
Phase1 Epoch 1/10:  45%|████▌     | 558/1239 [04:00<01:51,  6.12it/s, Loss=0.7684, Acc=56.64%]
Phase1 Epoch 1/10:  45%|████▌     | 558/1239 [04:00<01:51,  6.12it/s, Loss=0.7685, Acc=56.62%]
Phase1 Epoch 1/10:  45%|████▌     | 559/1239 [04:00<01:48,  6.29it/s, Loss=0.7685, Acc=56.62%]
Phase1 Epoch 1/10:  45%|████▌     | 559/1239 [04:01<01:48,  6.29it/s, Loss=0.7684, Acc=56.61%]
Phase1 Epoch 1/10:  45%|████▌     | 560/1239 [04:01<01:51,  6.11it/s, Loss=0.7684, Acc=56.61%]
Phase1 Epoch 1/10:  45%|████▌     | 560/1239 [04:01<01:51,  6.11it/s, Loss=0.7682, Acc=56.63%]
Phase1 Epoch 1/10:  45%|████▌     | 561/1239 [04:01<01:54,  5.91it/s, Loss=0.7682, Acc=56.63%]
Phase1 Epoch 1/10:  45%|████▌     | 561/1239 [04:01<01:54,  5.91it/s, Loss=0.7679, Acc=56.65%]
Phase1 Epoch 1/10:  45%|████▌     | 562/1239 [04:01<01:51,  6.10it/s, Loss=0.7679, Acc=56.65%]
Phase1 Epoch 1/10:  45%|████▌     | 562/1239 [04:01<01:51,  6.10it/s, Loss=0.7677, Acc=56.68%]
Phase1 Epoch 1/10:  45%|████▌     | 563/1239 [04:01<01:47,  6.27it/s, Loss=0.7677, Acc=56.68%]
Phase1 Epoch 1/10:  45%|████▌     | 563/1239 [04:01<01:47,  6.27it/s, Loss=0.7676, Acc=56.69%]
Phase1 Epoch 1/10:  46%|████▌     | 564/1239 [04:01<01:50,  6.10it/s, Loss=0.7676, Acc=56.69%]
Phase1 Epoch 1/10:  46%|████▌     | 564/1239 [04:01<01:50,  6.10it/s, Loss=0.7676, Acc=56.68%]
Phase1 Epoch 1/10:  46%|████▌     | 565/1239 [04:01<01:54,  5.90it/s, Loss=0.7676, Acc=56.68%]
Phase1 Epoch 1/10:  46%|████▌     | 565/1239 [04:02<01:54,  5.90it/s, Loss=0.7675, Acc=56.66%]
Phase1 Epoch 1/10:  46%|████▌     | 566/1239 [04:02<01:50,  6.07it/s, Loss=0.7675, Acc=56.66%]
Phase1 Epoch 1/10:  46%|████▌     | 566/1239 [04:02<01:50,  6.07it/s, Loss=0.7673, Acc=56.67%]
Phase1 Epoch 1/10:  46%|████▌     | 567/1239 [04:02<01:47,  6.25it/s, Loss=0.7673, Acc=56.67%]
Phase1 Epoch 1/10:  46%|████▌     | 567/1239 [04:02<01:47,  6.25it/s, Loss=0.7671, Acc=56.68%]
Phase1 Epoch 1/10:  46%|████▌     | 568/1239 [04:02<01:50,  6.10it/s, Loss=0.7671, Acc=56.68%]
Phase1 Epoch 1/10:  46%|████▌     | 568/1239 [04:02<01:50,  6.10it/s, Loss=0.7671, Acc=56.67%]
Phase1 Epoch 1/10:  46%|████▌     | 569/1239 [04:02<01:52,  5.93it/s, Loss=0.7671, Acc=56.67%]
Phase1 Epoch 1/10:  46%|████▌     | 569/1239 [04:02<01:52,  5.93it/s, Loss=0.7671, Acc=56.68%]
Phase1 Epoch 1/10:  46%|████▌     | 570/1239 [04:02<01:49,  6.09it/s, Loss=0.7671, Acc=56.68%]
Phase1 Epoch 1/10:  46%|████▌     | 570/1239 [04:02<01:49,  6.09it/s, Loss=0.7669, Acc=56.69%]
Phase1 Epoch 1/10:  46%|████▌     | 571/1239 [04:02<01:45,  6.32it/s, Loss=0.7669, Acc=56.69%]
Phase1 Epoch 1/10:  46%|████▌     | 571/1239 [04:03<01:45,  6.32it/s, Loss=0.7667, Acc=56.74%]
Phase1 Epoch 1/10:  46%|████▌     | 572/1239 [04:03<01:48,  6.14it/s, Loss=0.7667, Acc=56.74%]
Phase1 Epoch 1/10:  46%|████▌     | 572/1239 [04:03<01:48,  6.14it/s, Loss=0.7665, Acc=56.76%]
Phase1 Epoch 1/10:  46%|████▌     | 573/1239 [04:03<01:53,  5.89it/s, Loss=0.7665, Acc=56.76%]
Phase1 Epoch 1/10:  46%|████▌     | 573/1239 [04:03<01:53,  5.89it/s, Loss=0.7665, Acc=56.76%]
Phase1 Epoch 1/10:  46%|████▋     | 574/1239 [04:03<01:46,  6.26it/s, Loss=0.7665, Acc=56.76%]
Phase1 Epoch 1/10:  46%|████▋     | 574/1239 [04:03<01:46,  6.26it/s, Loss=0.7663, Acc=56.79%]
Phase1 Epoch 1/10:  46%|████▋     | 575/1239 [04:03<01:46,  6.23it/s, Loss=0.7663, Acc=56.79%]
Phase1 Epoch 1/10:  46%|████▋     | 575/1239 [04:03<01:46,  6.23it/s, Loss=0.7659, Acc=56.83%]
Phase1 Epoch 1/10:  46%|████▋     | 576/1239 [04:03<01:48,  6.11it/s, Loss=0.7659, Acc=56.83%]
Phase1 Epoch 1/10:  46%|████▋     | 576/1239 [04:03<01:48,  6.11it/s, Loss=0.7659, Acc=56.82%]
Phase1 Epoch 1/10:  47%|████▋     | 577/1239 [04:03<01:51,  5.95it/s, Loss=0.7659, Acc=56.82%]
Phase1 Epoch 1/10:  47%|████▋     | 577/1239 [04:04<01:51,  5.95it/s, Loss=0.7657, Acc=56.84%]
Phase1 Epoch 1/10:  47%|████▋     | 578/1239 [04:04<01:46,  6.18it/s, Loss=0.7657, Acc=56.84%]
Phase1 Epoch 1/10:  47%|████▋     | 578/1239 [04:04<01:46,  6.18it/s, Loss=0.7656, Acc=56.85%]
Phase1 Epoch 1/10:  47%|████▋     | 579/1239 [04:04<01:44,  6.29it/s, Loss=0.7656, Acc=56.85%]
Phase1 Epoch 1/10:  47%|████▋     | 579/1239 [04:04<01:44,  6.29it/s, Loss=0.7656, Acc=56.85%]
Phase1 Epoch 1/10:  47%|████▋     | 580/1239 [04:04<01:47,  6.11it/s, Loss=0.7656, Acc=56.85%]
Phase1 Epoch 1/10:  47%|████▋     | 580/1239 [04:04<01:47,  6.11it/s, Loss=0.7654, Acc=56.90%]
Phase1 Epoch 1/10:  47%|████▋     | 581/1239 [04:04<01:50,  5.94it/s, Loss=0.7654, Acc=56.90%]
Phase1 Epoch 1/10:  47%|████▋     | 581/1239 [04:04<01:50,  5.94it/s, Loss=0.7654, Acc=56.89%]
Phase1 Epoch 1/10:  47%|████▋     | 582/1239 [04:04<01:47,  6.12it/s, Loss=0.7654, Acc=56.89%]
Phase1 Epoch 1/10:  47%|████▋     | 582/1239 [04:04<01:47,  6.12it/s, Loss=0.7652, Acc=56.90%]
Phase1 Epoch 1/10:  47%|████▋     | 583/1239 [04:04<01:43,  6.34it/s, Loss=0.7652, Acc=56.90%]
Phase1 Epoch 1/10:  47%|████▋     | 583/1239 [04:04<01:43,  6.34it/s, Loss=0.7651, Acc=56.91%]
Phase1 Epoch 1/10:  47%|████▋     | 584/1239 [04:04<01:46,  6.14it/s, Loss=0.7651, Acc=56.91%]
Phase1 Epoch 1/10:  47%|████▋     | 584/1239 [04:05<01:46,  6.14it/s, Loss=0.7652, Acc=56.90%]
Phase1 Epoch 1/10:  47%|████▋     | 585/1239 [04:05<01:49,  5.97it/s, Loss=0.7652, Acc=56.90%]
Phase1 Epoch 1/10:  47%|████▋     | 585/1239 [04:05<01:49,  5.97it/s, Loss=0.7651, Acc=56.91%]
Phase1 Epoch 1/10:  47%|████▋     | 586/1239 [04:05<01:47,  6.08it/s, Loss=0.7651, Acc=56.91%]
Phase1 Epoch 1/10:  47%|████▋     | 586/1239 [04:05<01:47,  6.08it/s, Loss=0.7651, Acc=56.90%]
Phase1 Epoch 1/10:  47%|████▋     | 587/1239 [04:05<01:43,  6.30it/s, Loss=0.7651, Acc=56.90%]
Phase1 Epoch 1/10:  47%|████▋     | 587/1239 [04:05<01:43,  6.30it/s, Loss=0.7649, Acc=56.91%]
Phase1 Epoch 1/10:  47%|████▋     | 588/1239 [04:05<01:46,  6.13it/s, Loss=0.7649, Acc=56.91%]
Phase1 Epoch 1/10:  47%|████▋     | 588/1239 [04:05<01:46,  6.13it/s, Loss=0.7649, Acc=56.92%]
Phase1 Epoch 1/10:  48%|████▊     | 589/1239 [04:05<01:49,  5.96it/s, Loss=0.7649, Acc=56.92%]
Phase1 Epoch 1/10:  48%|████▊     | 589/1239 [04:05<01:49,  5.96it/s, Loss=0.7648, Acc=56.93%]
Phase1 Epoch 1/10:  48%|████▊     | 590/1239 [04:05<01:46,  6.10it/s, Loss=0.7648, Acc=56.93%]
Phase1 Epoch 1/10:  48%|████▊     | 590/1239 [04:06<01:46,  6.10it/s, Loss=0.7647, Acc=56.95%]
Phase1 Epoch 1/10:  48%|████▊     | 591/1239 [04:06<01:43,  6.25it/s, Loss=0.7647, Acc=56.95%]
Phase1 Epoch 1/10:  48%|████▊     | 591/1239 [04:06<01:43,  6.25it/s, Loss=0.7646, Acc=56.95%]
Phase1 Epoch 1/10:  48%|████▊     | 592/1239 [04:06<01:46,  6.08it/s, Loss=0.7646, Acc=56.95%]
Phase1 Epoch 1/10:  48%|████▊     | 592/1239 [04:06<01:46,  6.08it/s, Loss=0.7645, Acc=56.96%]
Phase1 Epoch 1/10:  48%|████▊     | 593/1239 [04:06<01:49,  5.92it/s, Loss=0.7645, Acc=56.96%]
Phase1 Epoch 1/10:  48%|████▊     | 593/1239 [04:06<01:49,  5.92it/s, Loss=0.7644, Acc=56.97%]
Phase1 Epoch 1/10:  48%|████▊     | 594/1239 [04:06<01:46,  6.03it/s, Loss=0.7644, Acc=56.97%]
Phase1 Epoch 1/10:  48%|████▊     | 594/1239 [04:06<01:46,  6.03it/s, Loss=0.7645, Acc=56.96%]
Phase1 Epoch 1/10:  48%|████▊     | 595/1239 [04:06<01:42,  6.26it/s, Loss=0.7645, Acc=56.96%]
Phase1 Epoch 1/10:  48%|████▊     | 595/1239 [04:06<01:42,  6.26it/s, Loss=0.7643, Acc=56.98%]
Phase1 Epoch 1/10:  48%|████▊     | 596/1239 [04:06<01:45,  6.09it/s, Loss=0.7643, Acc=56.98%]
Phase1 Epoch 1/10:  48%|████▊     | 596/1239 [04:07<01:45,  6.09it/s, Loss=0.7642, Acc=56.98%]
Phase1 Epoch 1/10:  48%|████▊     | 597/1239 [04:07<01:48,  5.93it/s, Loss=0.7642, Acc=56.98%]
Phase1 Epoch 1/10:  48%|████▊     | 597/1239 [04:07<01:48,  5.93it/s, Loss=0.7641, Acc=56.99%]
Phase1 Epoch 1/10:  48%|████▊     | 598/1239 [04:07<01:45,  6.08it/s, Loss=0.7641, Acc=56.99%]
